Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2010-01-04,136.25,136.61,133.14,133.9,135.58666666666667,7599900,-0.004619634174942025,-1
2010-01-05,133.43,135.48,131.81,134.69,134.53333333333333,8851900,0.005882588913596643,1
2010-01-06,134.6,134.73,131.65,132.25,133.85999999999999,7178800,-0.018281770872314668,-1
2010-01-07,132.01,132.32,128.8,130.0,131.44333333333333,11030200,-0.017159620282826395,-1
2010-01-08,130.56,133.68,129.03,133.52,132.58666666666667,9830500,0.026716828897997355,1
2010-01-11,132.62,132.8,129.21,130.31,131.91,8779400,-0.024335052196765062,-1
2010-01-12,128.99,129.82,126.55,127.35,128.72,9096300,-0.02297702573134865,-1
2010-01-13,127.9,129.71,125.75,129.11,128.90666666666667,10723200,0.013725552761161306,1
2010-01-14,129.14,130.38,126.4,127.35,128.95666666666668,9774900,-0.013725552761161337,-1
2010-01-15,129.18,129.65,127.06,127.14,128.65666666666667,15376500,-0.0016503599172032562,-1
2010-01-19,126.31,128.0,124.33,127.61,127.30666666666667,8892600,0.0036898962376221882,1
2010-01-20,127.13,129.2,125.08,125.78,127.37,9074700,-0.014444388630527652,-1
2010-01-21,127.26,128.15,125.0,126.62,127.34333333333335,9970600,0.0066561260006231335,1
2010-01-22,125.6,127.67,120.76,121.43,124.89999999999999,11568900,-0.04185251005025283,-1
2010-01-25,122.1,122.28,118.12,120.31,121.56333333333333,12023900,-0.009266220020294504,-1
2010-01-26,120.56,122.98,119.06,119.48,121.00666666666667,9559000,-0.006922751697524066,-1
2010-01-27,121.03,123.33,118.8,122.75,122.37,14765300,0.02700077332672083,1
2010-01-28,124.43,127.2,122.8,126.03,125.88666666666666,27293100,0.026370207174770493,1
2010-01-29,129.77,131.85,124.14,125.41,129.01,29471300,-0.004931604013442064,-1
2010-02-01,123.18,124.86,113.82,118.87,122.30333333333334,37774400,-0.05355791084342536,-1
2010-02-02,118.79,118.98,114.4,118.12,118.63,23079700,-0.0063294021168110535,-1
2010-02-03,117.12,119.61,116.56,119.1,118.61000000000001,12405900,0.008262419485532373,1
2010-02-04,118.64,120.33,115.74,115.94,118.30333333333333,12784000,-0.026890660449667543,-1
2010-02-05,115.88,117.65,114.1,117.39,116.97333333333334,11024800,0.012428908978843927,1
2010-02-08,119.38,121.0,116.56,116.83,119.07,9890200,-0.004781838161373843,-1
2010-02-09,118.2,119.09,117.0,118.03,118.44000000000001,9223000,0.0102189427119207,1
2010-02-10,118.0,118.61,116.0,117.36,117.99000000000001,6233200,-0.005692695606251358,-1
2010-02-11,117.21,120.42,116.5,120.09,119.24000000000001,8343500,0.022995327837865624,1
2010-02-12,118.99,119.94,117.5,119.66,119.53000000000002,8073500,-0.0035870737107062804,-1
2010-02-16,120.06,120.5,117.18,117.53,119.36333333333334,8932700,-0.01796076781712296,-1
2010-02-17,117.07,117.13,115.55,116.31,116.83666666666666,8944800,-0.010434579793815258,-1
2010-02-18,115.84,118.51,114.82,118.08,117.47666666666667,9800100,0.015103320501214787,1
2010-02-19,117.91,119.09,117.0,117.52,118.17333333333333,7115600,-0.004753828986540555,-1
